ROSTER ,,,,,
ROSTER // EDIT,,,,,
JAMIL SHAUKAT,PROJECT NAME ,LOOP DOWNLOAD LINK,EMBED CODE ,CREDITS,
LIAM TANGUM,,,,,
EDITOR,,https://www.dropbox.com/scl/fi/227q7vfwmp8qfiapevk6s/Oakely-Kylian-Mbappe.mp4?rlkey=9xcj1prn3kyyjpiscok0euij8&st=s7478vvn&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/l4iJTcmvUc9kqSQ3mcktIA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Creative and Production : Stept Studios
Producer: Alexa Hinson
Director: Joaquim Bayle
DP: Angelo Marques

Editor: LIAM TANGUM",
,RFM Jeans,https://www.dropbox.com/scl/fi/35ly0pg378qru4o76auzq/RFM-Jeans.mp4?rlkey=j3p6fqw097de518qssrpowx0z&st=cal03zd7&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/dV859sXWTPiERH5CF6iyTQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: SOFIA CRISTINA ALVAREZ
Producer: MARLYN RODRIGUEZ

Editor: LIAM TANGUM",
,Brooks - Sounds of Trail Running,https://www.dropbox.com/scl/fi/svot9xb8q2bqk07jqenta/Brooks-Sounds-of-Trail-Running.mp4?rlkey=xlteqim81mdzfdk6ng7p8zwvt&st=2e8xkbat&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:75.00000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/2RyALL3vM1bbYlXn6hEOjQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production: Stept Studios
DP: Nash Howe Head of Post: Connor Scofield

Editor: Liam Tangum",
,Bevel - Kyle Pitts,https://www.dropbox.com/scl/fi/dtqiddnwpspirh5u3ihco/Bevel-Kyle-Pitts.mp4?rlkey=vqz1f7ud2lowy8iswuszplldd&st=ho2hf4d7&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/0oRqHg7RMp9cRtecFGac4g/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director / DP: FRANKLIN RICART
Produced by: The Kitchen Table

Head of Post: Alex Peterson 
Post Supervisor: Nasser Boulaich
Editor: Liam Tangum
Colorist: Brian Charles",
,Nowness - Short Documentary,https://www.dropbox.com/scl/fi/xnmy4duvsn3bxfvsfs5n4/Nowness-Short-Documentary.mp4?rlkey=vwq810sz70cnzhsm1govfvrhg&st=umqspu8w&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:41.77083%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/QnNDO5jJPiweNaYkDbVNkQ/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Leo Pfeifer
Production Company: Alto Visuals

Editor: Liam Tangum",
,A Slice of Paradise - Short Film,https://www.dropbox.com/scl/fi/8cg0xcy1uq1e7obq8pxyb/A-Slice-of-Paradise-Short-Film.mp4?rlkey=1u4j8pt42fnhxi5kh5jnzbqq2&st=62drdmdm&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/CmHy4CgsSoqo5K58skbxDw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Liam Tangum
Executive Producers: No Laying Up

Editors: Liam Tangum & Lindsay Wilkins",
GRIFFIN OLIS,,,,,
EDITOR,Adidas - Speed Juice,https://www.dropbox.com/scl/fi/nmymo0pa4fm53r8t1s1eo/Adidas-Speed-Juice.mp4?rlkey=sgg1htrpczno01amb395v62sj&st=966gq0dt&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:68.66319%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/1z2wxMuQOojv0_l3j_3BUA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Director: Danny Paul McNabb 
Production Company: Resin projects
DP: Cory Burmester

Editor: Griffin Olis",
,Fear of God ,https://www.dropbox.com/scl/fi/t6mqlkk1k6vj5kvqeugxm/Fear-of-God.mp4?rlkey=e0y8b0664eaho3wbiunpc7p2w&st=sdjkd80w&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:69.10714%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/hpcySoCWdlWWHzaW6P5WWA/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>",,
,Kai Cenat - Going Professional,https://www.dropbox.com/scl/fi/vrt02d50dprf9ddk6f2yc/Kai-Cenat-Going-Professional.mp4?rlkey=yq5xefeizata9pp6ewm7o8cjo&st=9q94cxi8&dl=0,"<div style=""width:100%;height:0;position: relative;padding-bottom:56.25000%;margin-bottom:10px;""><iframe src=""https://apollo.gosimian.com/share/v/n0LFcwPS9X72xQRkpvugzw/false/auto/auto/ffffff/000000/"" name=""SimianEmbed"" scrolling=""no"" style=""position: absolute;top: 0;        left: 0; width: 100%; height: 100%;padding:0 !important;margin:0 !important;background:#000000"" frameborder=""0"" allowFullScreen webkitAllowFullScreen></iframe></div>","Production Company Black Screen Productions Inc
Director: Michael Daniel, Lachlan McClellan
Executive Producers: Monique Carrillo Michael Daniel
DP: Jonathan Charles

Editor: Griffin Olis",
